Website,SightMap Integrated?,SightMap Embed,API Usage,Closest URL to SightMap,Time,Date,Cookies Rejected
http://fourthstreeteast.com,Yes,https://sightmap.com/embed/rx1p889dpd6,No,http://fourthstreeteast.com,12:20:30,2024-01-09,
http://www.marketsquaretower.com/#s1,Yes,https://sightmap.com/embed/dzlpoj9nwg4,No,https://www.marketsquaretower.com/availability/,12:20:39,2024-01-09,
http://www.marketsquaretower.com/#s1,Yes,https://sightmap.com/embed/dzlpoj9nwg4,No,https://www.marketsquaretower.com/availability/,12:20:51,2024-01-09,
https://kapilinabeachhomes.com/,No,,No,,12:20:55,2024-01-09,
https://kapilinabeachhomes.com/,No,,No,,12:20:57,2024-01-09,
https://thewaypointe.com/,Error - Check Manually,,,,12:21:12.450138,2024-01-09,
https://thewaypointe.com/,No,,No,,12:21:12,2024-01-09,
http://liveatcolab.com,Error - Check Manually,,,,12:21:31.752009,2024-01-09,
http://liveatcolab.com,No,,No,,12:21:31,2024-01-09,
http://liveatcolab.com,Error - Check Manually,,,,12:21:49.199791,2024-01-09,
http://liveatcolab.com,No,,No,,12:21:49,2024-01-09,
https://livethejamesriveroaks.com/,No,,No,,12:21:50,2024-01-09,
https://livethejamesriveroaks.com/,No,,No,,12:21:51,2024-01-09,
http://liveelanrosemary.com,Error - Check Manually,14:24:47.948907,2024-01-09,,,,
http://oakstreetstationapts.com,Yes,14:24:54,2024-01-09,,https://sightmap.com/embed/my8pxkzzv19,No,http://oakstreetstationapts.com/floor-plans.aspx
http://oakstreetstationapts.com,Yes,14:24:57,2024-01-09,,https://sightmap.com/embed/my8pxkzzv19,No,http://oakstreetstationapts.com/floor-plans.aspx
http://thecoreatsycamorehighlands.com,No,14:25:15,2024-01-09,,,No,
http://thecoreatsycamorehighlands.com,No,14:25:30,2024-01-09,,,No,
https://livepeak83.com/,No,14:26:48,2024-01-09,,,No,
https://www.elancrockettrow.com/?utm_source=greystarref&utm_medium=referral&utm_campaign=greystar_com,No,14:26:55,2024-01-09,,,No,
http://www.livenouvelle.com,No,No,14:28:36,2024-01-09,,,
http://www.livenouvelle.com,No,No,14:28:48,2024-01-09,,,
http://talariaburbank.com,Yes,No,14:28:57,2024-01-09,,https://sightmap.com/embed/rx1p88gopd6,http://talariaburbank.com/floor-plans/
http://talariaburbank.com,Yes,No,14:29:03,2024-01-09,,https://sightmap.com/embed/rx1p88gopd6,http://talariaburbank.com/floor-plans/
http://www.livezinc.com,No,No,14:29:22,2024-01-09,,,
http://www.livezinc.com,No,No,14:29:35,2024-01-09,,,
http://soleraliving.com,No,No,14:29:40,2024-01-09,,,
http://soleraliving.com,No,No,14:29:45,2024-01-09,,,
http://www.heliosapts.com,Yes,No,14:29:55,2024-01-09,,https://sightmap.com/embed/910pd08mv2z,http://www.heliosapts.com/floorplans/
http://www.heliosapts.com,Yes,No,14:29:57,2024-01-09,,https://sightmap.com/embed/910pd08mv2z,http://www.heliosapts.com/floorplans/
https://ascendat95.com/,Error - Check Manually,,14:31:12.542270,2024-01-09,,,
https://ascendat95.com/,Error - Check Manually,,14:31:22.565170,2024-01-09,,,
http://somabrickell.com/,No,No,14:31:30,2024-01-09,,,
http://somabrickell.com/,No,No,14:31:35,2024-01-09,,,
https://www.revlheights.com/,No,No,14:31:37,2024-01-09,,,
https://www.revlheights.com/,No,No,14:31:38,2024-01-09,,,
http://www.metro808apartments.com,Yes,No,14:31:45,2024-01-09,,https://sightmap.com/embed/rkwnooggvd2,http://www.metro808apartments.com
http://www.metro808apartments.com,Yes,No,14:31:47,2024-01-09,,https://sightmap.com/embed/rkwnooggvd2,http://www.metro808apartments.com
https://www.rkcoda.com/,Yes,https://sightmap.com/embed/4jlw0y3jv2y,No,https://www.rkcoda.com/floorplans,14:33:18,2024-01-09,
https://www.rkcoda.com/,Yes,https://sightmap.com/embed/4jlw0y3jv2y,No,https://www.rkcoda.com/floorplans,14:33:22,2024-01-09,
https://www.villageatgracyfarms.com,No,,No,,14:34:03,2024-01-09,
https://www.villageatgracyfarms.com,No,,No,,14:34:45,2024-01-09,
https://flatirondomain.com,Yes,https://sightmap.com/embed/960p7k8dw7n,No,https://flatirondomain.com/floorplans/,14:34:49,2024-01-09,
https://flatirondomain.com,Yes,https://sightmap.com/embed/960p7k8dw7n,No,https://flatirondomain.com/floorplans/,14:34:52,2024-01-09,
http://parqliving.com/,No,,No,,14:35:21,2024-01-09,
https://www.westkoenigaustin.com/,Yes,https://sightmap.com/embed/rx1p8dgrvd6,No,https://www.westkoenigaustin.com/Floor-plans.aspx,14:35:38,2024-01-09,
https://www.westkoenigaustin.com/,Yes,https://sightmap.com/embed/rx1p8dgrvd6,No,https://www.westkoenigaustin.com/Floor-plans.aspx,14:35:48,2024-01-09,
https://www.liveatladera.com/,Error - Check Manually,,,,14:36:11.527356,2024-01-09,
https://www.liveatladera.com/,No,,No,,14:36:11,2024-01-09,
https://www.liveatladera.com/,No,,No,,14:37:04,2024-01-09,
https://www.bowerysouthside.com/,Yes,https://sightmap.com/embed/60p79y6lv7n,No,https://www.bowerysouthside.com/floorplans,14:37:12,2024-01-09,
https://www.bowerysouthside.com/,Yes,https://sightmap.com/embed/60p79y6lv7n,No,https://www.bowerysouthside.com/floorplans,14:37:17,2024-01-09,
https://www.theboulevardattownlake.com/?utm_source=greystarref&utm_medium=referral&utm_campaign=greystar_com,No,,No,,14:39:05,2024-01-09,
https://www.theboulevardattownlake.com/?utm_source=greystarref&utm_medium=referral&utm_campaign=greystar_com,No,,No,,14:40:29,2024-01-09,
http://livetalavera.com,Yes,https://sightmap.com/embed/6m9pz852pk1,No,http://livetalavera.com/floorplans/,14:40:33,2024-01-09,
http://livetalavera.com,Yes,https://sightmap.com/embed/6m9pz852pk1,No,http://livetalavera.com/floorplans/,14:40:46,2024-01-09,
https://sobajax.com/,Error - Check Manually,,,,14:40:56.558767,2024-01-09,
https://sobajax.com/,Error - Check Manually,,,,14:41:06.573205,2024-01-09,
https://www.harborlandingny.com/,Yes,https://sightmap.com/embed/dzlporj8pg4,No,https://www.harborlandingny.com/,14:41:08,2024-01-09,
https://theyardivanhoe.com/,Yes,https://sightmap.com/embed/4d7p1x42vkx,No,https://theyardivanhoe.com/apartment-floor-plans/,14:41:16,2024-01-09,
https://theyardivanhoe.com/,Yes,https://sightmap.com/embed/4d7p1x42vkx,No,https://theyardivanhoe.com/apartment-floor-plans/,14:41:18,2024-01-09,
https://www.harborlandingny.com/,Yes,https://sightmap.com/embed/dzlporj8pg4,No,https://www.harborlandingny.com/,14:41:18,2024-01-09,
http://clarendon.apartments/,No,,No,,14:41:49,2024-01-09,
http://asheroaks.com,Yes,https://sightmap.com/embed/ryzvgq6ypln,No,http://asheroaks.com/floorplans/,14:41:54,2024-01-09,
https://www.halfmoonharbourapts.com/,Yes,https://sightmap.com/embed/e8ywk5m4wlx,No,https://www.halfmoonharbourapts.com/floor-plans.aspx,14:42:02,2024-01-09,
https://lakesiderow.com/,Yes,https://sightmap.com/embed/l8epm69kv6d,No,https://lakesiderow.com/site-map/,14:42:07,2024-01-09,
https://lakesiderow.com/,Yes,https://sightmap.com/embed/l8epm69kv6d,No,https://lakesiderow.com/site-map/,14:42:10,2024-01-09,
https://www.themichaelatpresidio.com/,Yes,https://sightmap.com/embed/6m9pz87mpk1,No,https://www.themichaelatpresidio.com/Floor-plans.aspx,14:42:19,2024-01-09,
https://highstreetviewapts.com/,Yes,https://sightmap.com/embed/05eve081pqo,No,https://highstreetviewapts.com/floorplans/,14:42:22,2024-01-09,
https://aviaapartments.com/,Yes,https://sightmap.com/embed/er5v56jmpny,No,https://aviaapartments.com/floorplans/,14:42:26,2024-01-09,
https://www.livetalisman.com/,Yes,https://sightmap.com/embed/8epmy4mkp6d,No,https://www.livetalisman.com/floorplans/,14:42:30,2024-01-09,
http://unionchapelhill.com,No,,No,,14:42:37,2024-01-09,
http://unionchapelhill.com,No,,No,,14:42:41,2024-01-09,
http://coldwateraustin.com,Error - Check Manually,,,,14:43:43.192170,2024-01-09,
http://coldwateraustin.com,No,,No,,14:43:43,2024-01-09,
http://thecamerontempe.com,Yes,https://sightmap.com/embed/960p7y5xp7n,No,http://thecamerontempe.com/floorplans/,14:44:02,2024-01-09,
http://www.hardrockcanyon.com,Yes,https://sightmap.com/embed/z40vl5zrwle,No,http://www.hardrockcanyon.com/floor-plans.aspx,14:44:06,2024-01-09,
https://www.madisononthelakeapts.com/,No,,No,,14:44:08,2024-01-09,
https://www.elaneast.com/,Yes,https://sightmap.com/embed/6m9pz8gmpk1,No,https://www.elaneast.com/Floor-plans.aspx,14:44:18,2024-01-09,
https://www.bedtla.com/?utm_source=GoogleLocalListing&utm_medium=organic,Yes,https://sightmap.com/embed/k9zw4zd9v87,No,https://www.bedtla.com/floorplans/,14:44:27,2024-01-09,
https://www.pacificaboynton.com,Yes,https://sightmap.com/embed/yjp2kk2rpxl,No,https://www.pacificaboynton.com/floorplans,14:44:34,2024-01-09,
https://jacksonseattle.com/,Yes,https://sightmap.com/embed/ryzvg1o6vln,No,https://jacksonseattle.com/floorplans/,14:44:38,2024-01-09,
https://www.liveoverture.com/communities/charleston-daniel-island/,Error - Check Manually,,,,15:03:54.536847,2024-01-09,
https://www.liveoverture.com/communities/charleston-daniel-island/,No,,No,,15:03:54,2024-01-09,
http://livethepullman.com,Yes,https://sightmap.com/embed/nrkwndygpd2,No,http://livethepullman.com/floorplans/,15:04:01,2024-01-09,
https://www.theolivianapts.com/,No,,No,,15:04:46,2024-01-09,
